suite,task,task_idx,rollout_idx,success,steps,elapsed_sec
libero_spatial,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,4,5,True,144,16.4415225982666
libero_spatial,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,4,6,True,144,16.41118574142456
libero_spatial,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,4,7,True,132,15.418428182601929
libero_spatial,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,4,8,True,137,15.559423446655273
libero_spatial,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,4,9,False,230,27.424654960632324
libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,5,0,False,230,26.34024930000305
libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,5,1,False,230,26.431473970413208
libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,5,2,False,230,25.842586040496826
libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,5,3,False,230,27.06930184364319
libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,5,4,False,230,26.34865164756775
libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,5,5,False,230,26.31315565109253
libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,5,6,False,230,26.27266526222229
libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,5,7,False,230,26.520577430725098
libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,5,8,False,230,26.549561738967896
libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,5,9,False,230,26.768298864364624
libero_spatial,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,6,0,True,124,14.139185428619385
libero_spatial,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,6,1,True,116,13.160931587219238
libero_spatial,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,6,2,True,123,14.276355504989624
libero_spatial,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,6,3,True,119,13.444277048110962
libero_spatial,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,6,4,True,124,14.393613815307617
libero_spatial,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,6,5,True,122,13.566634893417358
libero_spatial,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,6,6,True,133,15.152546405792236
libero_spatial,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,6,7,True,121,13.562634706497192
libero_spatial,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,6,8,True,127,14.466794729232788
libero_spatial,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,6,9,True,120,13.353495597839355
libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,7,0,True,142,16.634584188461304
libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,7,1,True,130,14.955968618392944
libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,7,2,True,156,18.52749228477478
libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,7,3,True,133,15.710509061813354
libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,7,4,True,143,16.722891330718994
libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,7,5,True,137,15.793647766113281
libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,7,6,True,202,23.832624673843384
libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,7,7,True,146,16.81940722465515
libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,7,8,True,148,17.231229782104492
libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,7,9,True,141,16.760406017303467
libero_spatial,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,8,0,True,128,14.517679214477539
libero_spatial,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,8,1,True,114,12.801321744918823
libero_spatial,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,8,2,False,230,25.999830961227417
libero_spatial,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,8,3,True,118,13.447555541992188
libero_spatial,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,8,4,False,230,25.87821340560913
libero_spatial,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,8,5,True,102,11.5360586643219
libero_spatial,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,8,6,True,107,12.295443296432495
libero_spatial,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,8,7,True,107,12.483091115951538
libero_spatial,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,8,8,True,122,13.509464263916016
libero_spatial,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,8,9,True,112,12.466125249862671
libero_spatial,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,9,0,True,139,16.119796752929688
libero_spatial,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,9,1,True,143,16.163360118865967
libero_spatial,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,9,2,True,137,15.283375024795532
libero_spatial,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,9,3,True,139,15.950052261352539
libero_spatial,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,9,4,True,141,16.482699394226074
libero_spatial,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,9,5,True,140,16.16402792930603
libero_spatial,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,9,6,True,160,18.24347710609436
libero_spatial,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,9,7,True,187,21.79997682571411
libero_spatial,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,9,8,True,143,16.233791828155518
libero_spatial,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,9,9,True,142,16.286718606948853
